EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
182527,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182528,,,,,
182529,,,,,
182530,,,,,
182531,,,,,
182532,,,,,
182534,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182534,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182535,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182536,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182536,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182537,1.0,2025-01-07,2025-01-07,2.0,Casual Leave
182537,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182538,,,,,
182539,1.0,2025-01-03,2025-01-03,2.0,Casual Leave
182540,,,,,
182541,,,,,
182542,,,,,
182543,,,,,
182544,,,,,
182545,,,,,
182546,,,,,
182547,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182547,1.0,2024-12-30,2024-12-30,16.0,Unauthorized leave 
182548,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182549,1.0,2025-01-06,2025-01-06,2.0,Casual Leave
182549,0.5,2025-01-07,2025-01-07,2.0,Casual Leave
182549,1.0,2025-01-10,2025-01-10,2.0,Casual Leave
182549,1.0,2025-01-09,2025-01-09,2.0,Casual Leave
182550,,,,,
182551,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182552,,,,,
182553,,,,,
182554,,,,,
182555,,,,,
182556,,,,,
182557,,,,,
182558,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182558,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182558,1.0,2025-01-06,2025-01-06,2.0,Casual Leave
182558,1.0,2025-01-16,2025-01-16,2.0,Casual Leave
182558,1.0,2025-01-15,2025-01-15,2.0,Casual Leave
182558,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182558,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
